Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk
Haydenhamburger.txt	1	4824	41.96	59.25	51.51	64.67	24.12	17.97	75.17	5.47	3.73	1.68	0.19	0.75	0.39	9.93	0.48	0.27	0.68	1.20	3.30	1.16	0.41	0.19	1.10	6.76	1.82	1.31	1.97	2.20	0.27
A_Tay_.txt	1	5368	49.92	58.33	40.65	71.26	7.75	19.80	75.60	8.10	5.25	2.83	0.19	1.77	0.35	10.49	0.58	0.88	1.14	0.43	3.76	1.19	0.58	1.06	1.12	7.75	3.13	0.99	2.37	1.92	0.30
Chedda_Shedda.txt	1	2158	43.60	43.92	52.72	33.77	25.09	15.76	79.38	7.14	3.80	3.34	0.19	2.13	0.51	10.38	0.93	0.93	1.58	1.30	3.38	1.34	0.32	1.11	0.74	6.58	1.81	1.07	2.27	1.85	0.46
ajigoe.txt	1	3886	68.33	48.35	41.51	68.97	30.84	17.45	70.41	5.92	4.09	1.80	0.18	1.11	0.18	7.57	0.51	0.41	0.69	1.26	3.24	1.16	0.41	0.59	1.36	5.76	1.80	1.16	1.70	1.85	0.28
Tony_Teixeira_.txt	1	10005	58.44	38.70	25.24	38.76	18.84	16.95	69.01	6.72	3.71	2.98	0.18	1.70	0.37	6.42	0.19	0.73	0.26	0.65	3.37	1.32	0.66	0.64	0.92	4.43	1.42	0.76	1.30	1.21	0.20
Jaderocks201512.txt	1	2785	78.60	58.93	26.72	33.84	15.30	15.62	69.84	4.13	2.26	1.80	0.18	1.11	0.29	8.98	0.39	0.72	0.79	0.97	2.76	0.97	0.50	0.97	0.86	5.71	2.73	0.68	1.47	1.18	0.32
AyDarbay15.txt	1	1120	50.92	65.62	42.79	24.35	27.32	13.93	78.39	7.05	3.48	3.57	0.18	2.32	0.62	13.12	1.07	0.80	1.34	1.79	5.45	2.59	0.71	0.71	1.43	7.23	3.30	1.34	1.16	1.07	0.80
Darth_PlurInc.txt	1	2252	75.51	51.42	38.94	95.34	17.06	15.81	70.34	6.26	5.42	0.75	0.18	0.13	0.31	5.37	0.04	0.36	0.04	0.31	1.33	0.40	0.44	0.09	0.36	5.60	1.55	1.47	1.20	1.95	0.04
Edwinhymer90.txt	1	3422	46.20	32.64	59.31	93.46	16.61	16.95	84.10	13.97	9.12	4.79	0.18	3.10	0.29	7.36	0.64	0.56	0.41	0.88	4.06	1.26	0.50	0.99	1.29	6.98	2.60	0.76	2.05	1.64	0.50
NopoGinger.txt	1	2855	47.33	36.57	60.02	26.35	58.27	14.96	79.86	7.15	3.57	3.54	0.18	1.89	0.67	8.13	0.46	0.67	0.88	1.16	5.53	1.86	0.88	1.16	1.75	6.20	1.68	1.37	2.21	1.37	0.49
