Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	drives	affiliation	achieve	power	reward	risk
allyy__cat.txt	1	28812	33.18	28.92	78.46	42.86	9.29	17.80	85.32	9.99	5.42	4.48	0.57	1.12	1.18	7.21	0.45	0.46	0.47	0.55	5.96	1.49	1.24	1.54	1.71	0.57
amanda_meissner.txt	1	10934	52.86	56.33	70.37	84.82	24.19	14.68	80.69	7.60	5.46	2.10	0.29	0.46	0.60	9.38	0.55	0.57	0.69	0.83	7.66	2.70	1.26	2.19	2.19	0.39
andrewmotley.txt	1	4700	61.17	37.40	88.73	69.48	17.74	13.43	83.89	7.49	4.85	2.53	0.21	1.36	0.36	7.09	0.21	0.77	0.23	0.77	8.89	2.72	2.19	1.72	2.87	0.21
Andysthrash.txt	1	3876	45.71	42.43	61.85	37.64	13.18	15.27	79.57	8.18	4.41	3.74	0.34	1.93	0.70	9.11	0.49	0.70	0.88	0.98	6.48	2.22	1.44	1.39	1.70	0.36
ashleyhchase.txt	1	5757	55.18	49.37	67.73	41.47	11.47	18.55	80.81	7.03	3.93	3.06	0.33	0.80	0.89	7.96	0.42	0.38	0.78	0.68	6.57	2.03	1.20	1.79	2.08	0.57
ashleyxwhoa.txt	1	2815	39.69	26.59	66.90	14.08	15.73	13.68	80.89	7.00	3.06	3.91	0.39	1.95	0.39	6.29	0.43	0.36	0.67	0.75	5.47	1.28	1.24	1.31	1.49	0.57
ashmeetsdoom.txt	1	1366	22.11	33.81	77.95	5.48	13.94	13.62	88.36	7.54	2.78	4.69	0.22	2.86	0.73	11.27	0.44	0.22	0.66	0.73	6.52	2.20	1.39	1.54	1.68	0.37
AustinHaas66.txt	1	454	37.10	56.13	72.95	22.36	9.87	18.28	74.67	6.83	3.30	3.52	0.66	1.32	0.88	10.57	0.66	0.66	0.22	0.00	7.49	2.42	1.54	2.86	1.76	0.22
AWgypsy11.txt	1	7377	18.48	35.90	85.48	48.67	17.82	12.84	90.46	9.10	5.11	3.88	0.22	2.21	0.57	10.18	0.41	0.35	0.92	0.98	6.91	1.82	1.18	1.78	1.98	0.49
AyDarbay15.txt	1	2925	57.24	60.53	47.44	26.34	23.59	14.19	77.57	7.76	3.90	3.86	0.34	2.43	0.51	11.97	0.79	0.99	1.03	1.33	6.94	3.11	1.23	1.64	1.47	0.38
AyreJordan22.txt	1	1335	49.07	57.72	57.75	56.92	190.71	21.57	76.55	5.84	3.75	2.10	0.15	1.35	0.52	10.26	0.97	0.52	0.52	1.27	8.16	3.07	1.65	1.95	2.25	0.37
Aywillie.txt	1	1232	51.75	45.79	58.18	80.27	13.11	11.44	82.06	9.17	6.09	3.08	0.32	1.54	0.65	9.01	0.97	0.41	0.32	1.62	9.09	3.33	1.54	2.27	2.68	0.49
Ay_mick.txt	1	6536	25.52	39.67	71.47	33.42	26.57	14.70	84.13	9.90	5.13	4.68	0.24	2.69	0.80	11.17	0.44	0.90	0.57	1.01	7.63	3.41	0.76	1.51	1.76	0.60
A_Tay_.txt	1	9210	51.80	57.54	44.46	64.87	7.95	19.83	75.39	7.94	4.99	2.93	0.25	1.70	0.39	10.01	0.42	0.89	1.15	0.42	7.25	2.86	0.83	2.18	1.74	0.31
BabyJuan209.txt	1	5355	58.12	41.80	51.55	27.63	17.27	16.45	78.88	8.52	4.31	4.20	0.17	2.41	0.71	9.30	0.86	0.63	0.84	0.95	7.49	2.76	1.06	2.13	1.76	0.47
basedjose_.txt	1	20201	48.66	54.32	56.29	37.05	49.15	13.62	78.33	6.56	3.58	2.95	0.22	1.71	0.38	10.43	0.72	0.75	1.17	1.11	6.16	1.93	0.99	1.76	1.72	0.37
bathsalt_elixir.txt	1	6720	60.31	42.33	39.03	28.74	33.27	16.31	73.29	6.16	3.14	2.96	0.18	1.64	0.49	7.75	0.43	0.86	0.48	1.18	6.76	1.89	1.35	1.95	1.93	0.27
